id_avis,date,source,produit,texte,sentiment,note,langue,type_texte,est_vide,contient_url,contient_mention,contient_hashtag,contient_emoji,beaucoup_ponctuation,est_majuscules,repetition_caracteres,longueur,contient_chiffre,contient_caractere_special,contient_ponctuation_repetee,texte_clean,tokens,nombre_tokens,texte_final
AV0001,2026-02-27,mobile,Ordinateur NovaBook,"Très  bonne  expérience,  simple  et  efficace.",positif,4,fr,texte normal,False,False,False,False,False,False,False,False,47,False,True,False,"Très bonne expérience, simple et efficace.","['Très', 'bonne', 'expérience', ',', 'simple', 'et', 'efficace', '.']",8,"très bonne expérience, simple et efficace."
AV0002,2026-01-09,web,SmartPhone X,Très satisfait de mon achat 👍 #avis,positif,4,fr,texte normal,False,False,False,True,True,False,False,False,35,False,True,False,Très satisfait de mon achat 👍 avis,"['Très', 'satisfait', 'de', 'mon', 'achat', '👍', 'avis']",7,très satisfait de mon achat 👍 avis
AV0003,2026-07-03,réseaux_sociaux,Écouteurs AirSound,"Produit  parfait,  rien  à  signaler.",positif,4,fr,texte normal,False,False,False,False,False,False,False,False,37,False,True,False,"Produit parfait, rien à signaler.","['Produit', 'parfait', ',', 'rien', 'à', 'signaler', '.']",7,"produit parfait, rien à signaler."
AV0004,2026-06-28,sav,SmartWatch Pro,"Produit excellent, je suis très satisfait. !!!",positif,5,fr,texte normal,False,False,False,False,False,False,False,True,46,False,True,True,"Produit excellent, je suis très satisfait. !!","['Produit', 'excellent', ',', 'je', 'suis', 'très', 'satisfait', '.', '!', '!']",10,"produit excellent, je suis très satisfait. !!"
AV0005,2026-01-24,sav,SmartPhone X,LA BATTERIE TIENT VRAIMENT BIEN ET L'ÉCRAN EST SUPERBE.,positif,5,fr,texte normal,False,False,False,False,False,False,True,False,55,False,True,False,LA BATTERIE TIENT VRAIMENT BIEN ET L'ÉCRAN EST SUPERBE.,"['LA', 'BATTERIE', 'TIENT', 'VRAIMENT', 'BIEN', 'ET', ""L'ÉCRAN"", 'EST', 'SUPERBE', '.']",10,la batterie tient vraiment bien et l'écran est superbe.
AV0006,2026-07-26,web,Ordinateur NovaBook,Très satisfait de mon achat 👍 😊,positif,5,fr,texte normal,False,False,False,False,True,False,False,False,31,False,True,False,Très satisfait de mon achat 👍 😊,"['Très', 'satisfait', 'de', 'mon', 'achat', '👍', '😊']",7,très satisfait de mon achat 👍 😊
AV0007,2026-05-22,email,Ordinateur NovaBook,SERVICE CLIENT RÉACTIF ET COMMANDE REÇUE RAPIDEMENT.,positif,4,fr,texte normal,False,False,False,False,False,False,True,False,52,False,True,False,SERVICE CLIENT RÉACTIF ET COMMANDE REÇUE RAPIDEMENT.,"['SERVICE', 'CLIENT', 'RÉACTIF', 'ET', 'COMMANDE', 'REÇUE', 'RAPIDEMENT', '.']",8,service client réactif et commande reçue rapidement.
AV0008,2026-06-30,web,SmartPhone X,Très  satisfait  de  mon  achat  👍,positif,5,fr,texte normal,False,False,False,False,True,False,False,False,34,False,True,False,Très satisfait de mon achat 👍,"['Très', 'satisfait', 'de', 'mon', 'achat', '👍']",6,très satisfait de mon achat 👍
AV0009,2026-08-10,web,Écouteurs AirSound,Le  produit  correspond  globalement  à  la  description.,neutre,3,fr,texte normal,False,False,False,False,False,False,False,False,57,False,True,False,Le produit correspond globalement à la description.,"['Le', 'produit', 'correspond', 'globalement', 'à', 'la', 'description', '.']",8,le produit correspond globalement à la description.
AV0010,2026-04-01,mobile,Ordinateur NovaBook,@client Livraison rapide et produit conforme à mes attentes.,positif,5,fr,texte normal,False,False,True,False,False,False,False,False,60,False,True,False,Livraison rapide et produit conforme à mes attentes.,"['Livraison', 'rapide', 'et', 'produit', 'conforme', 'à', 'mes', 'attentes', '.']",9,livraison rapide et produit conforme à mes attentes.
AV0011,2026-05-17,mobile,SmartPhone Y,Très satisfait de mon achat 👍 !!!,positif,4,fr,texte normal,False,False,False,False,True,False,False,True,33,False,True,True,Très satisfait de mon achat 👍 !!,"['Très', 'satisfait', 'de', 'mon', 'achat', '👍', '!', '!']",8,très satisfait de mon achat 👍 !!
AV0013,2026-03-10,web,SmartPhone Y,La batterie tient vraiment bien et l'écran est superbe. #avis,positif,4,fr,texte normal,False,False,False,True,False,False,False,False,61,False,True,False,La batterie tient vraiment bien et l'écran est superbe. avis,"['La', 'batterie', 'tient', 'vraiment', 'bien', 'et', ""l'écran"", 'est', 'superbe', '.', 'avis']",11,la batterie tient vraiment bien et l'écran est superbe. avis
AV0014,2026-06-17,sav,Écouteurs AirSound,"Mauvaise  expérience,  je  ne  recommande  pas.",negatif,2,fr,texte normal,False,False,False,False,False,False,False,False,47,False,True,False,"Mauvaise expérience, je ne recommande pas.","['Mauvaise', 'expérience', ',', 'je', 'ne', 'recommande', 'pas', '.']",8,"mauvaise expérience, je ne recommande pas."
AV0015,2026-03-09,mobile,SmartPhone Y,Qualité décevante pour ce prix. !!!,negatif,2,fr,texte normal,False,False,False,False,False,False,False,True,35,False,True,True,Qualité décevante pour ce prix. !!,"['Qualité', 'décevante', 'pour', 'ce', 'prix', '.', '!', '!']",8,qualité décevante pour ce prix. !!
AV0016,2026-08-18,réseaux_sociaux,Écouteurs AirSound,Produit correct pour son prix. #avis,neutre,4,fr,texte normal,False,False,False,True,False,False,False,False,36,False,True,False,Produit correct pour son prix. avis,"['Produit', 'correct', 'pour', 'son', 'prix', '.', 'avis']",7,produit correct pour son prix. avis
AV0017,2026-01-24,web,SmartPhone X,"Produit parfait, rien à signaler. https://example.com/commande/17",positif,5,fr,texte normal,False,True,False,False,False,False,False,False,65,True,True,False,"Produit parfait, rien à signaler.","['Produit', 'parfait', ',', 'rien', 'à', 'signaler', '.']",7,"produit parfait, rien à signaler."
AV0019,2026-08-09,web,Ordinateur NovaBook,Le produit ne fonctionne déjà plus.,negatif,2,fr,texte normal,False,False,False,False,False,False,False,False,35,False,True,False,Le produit ne fonctionne déjà plus.,"['Le', 'produit', 'ne', 'fonctionne', 'déjà', 'plus', '.']",7,le produit ne fonctionne déjà plus.
AV0020,2026-07-16,email,SmartPhone X,"Je viens de recevoir le produit, à voir dans le temps. 😊",neutre,4,fr,texte normal,False,False,False,False,True,False,False,False,56,False,True,False,"Je viens de recevoir le produit, à voir dans le temps. 😊","['Je', 'viens', 'de', 'recevoir', 'le', 'produit', ',', 'à', 'voir', 'dans', 'le', 'temps', '.', '😊']",14,"je viens de recevoir le produit, à voir dans le temps. 😊"
AV0021,2026-07-04,email,Tablette TabPlus,Excellent rapport qualité-prix.,positif,5,fr,texte normal,False,False,False,False,False,False,False,False,31,False,True,False,Excellent rapport qualité-prix.,"['Excellent', 'rapport', 'qualité-prix', '.']",4,excellent rapport qualité-prix.
AV0022,2026-08-04,réseaux_sociaux,Tablette TabPlus,Le produit correspond globalement à la description. 😊,neutre,4,fr,texte normal,False,False,False,False,True,False,False,False,53,False,True,False,Le produit correspond globalement à la description. 😊,"['Le', 'produit', 'correspond', 'globalement', 'à', 'la', 'description', '.', '😊']",9,le produit correspond globalement à la description. 😊
AV0023,2026-07-19,réseaux_sociaux,SmartPhone X,Livraison rapide et produit conforme à mes attentes.,positif,5,fr,texte normal,False,False,False,False,False,False,False,False,52,False,True,False,Livraison rapide et produit conforme à mes attentes.,"['Livraison', 'rapide', 'et', 'produit', 'conforme', 'à', 'mes', 'attentes', '.']",9,livraison rapide et produit conforme à mes attentes.
AV0024,2026-08-26,email,SmartWatch Pro,"PRODUIT EXCELLENT, JE SUIS TRÈS SATISFAIT.",positif,5,fr,texte normal,False,False,False,False,False,False,True,False,42,False,True,False,"PRODUIT EXCELLENT, JE SUIS TRÈS SATISFAIT.","['PRODUIT', 'EXCELLENT', ',', 'JE', 'SUIS', 'TRÈS', 'SATISFAIT', '.']",8,"produit excellent, je suis très satisfait."
AV0025,2026-01-22,sav,SmartPhone X,TRÈS SATISFAIT DE MON ACHAT 👍,positif,5,fr,texte normal,False,False,False,False,True,False,True,False,29,False,True,False,TRÈS SATISFAIT DE MON ACHAT 👍,"['TRÈS', 'SATISFAIT', 'DE', 'MON', 'ACHAT', '👍']",6,très satisfait de mon achat 👍
AV0026,2026-06-18,sav,Tablette TabPlus,"Produit reçu endommagé, je suis mécontent. !!!",negatif,2,fr,texte normal,False,False,False,False,False,False,False,True,46,False,True,True,"Produit reçu endommagé, je suis mécontent. !!","['Produit', 'reçu', 'endommagé', ',', 'je', 'suis', 'mécontent', '.', '!', '!']",10,"produit reçu endommagé, je suis mécontent. !!"
AV0027,2026-07-13,mobile,Ordinateur NovaBook,"Je recommande vivement, tout fonctionne parfaitement.",positif,5,fr,texte normal,False,False,False,False,False,False,False,False,53,False,True,False,"Je recommande vivement, tout fonctionne parfaitement.","['Je', 'recommande', 'vivement', ',', 'tout', 'fonctionne', 'parfaitement', '.']",8,"je recommande vivement, tout fonctionne parfaitement."
AV0029,2026-02-28,réseaux_sociaux,SmartPhone Y,"Produit excellent, je suis trèèès satisfait.",positif,5,fr,texte normal,False,False,False,False,False,False,False,True,44,False,True,False,"Produit excellent, je suis trèèès satisfait.","['Produit', 'excellent', ',', 'je', 'suis', 'trèèès', 'satisfait', '.']",8,"produit excellent, je suis trèèès satisfait."
AV0030,2026-08-20,web,SmartWatch Pro,"JE RECOMMANDE VIVEMENT, TOUT FONCTIONNE PARFAITEMENT.",positif,4,fr,texte normal,False,False,False,False,False,False,True,False,53,False,True,False,"JE RECOMMANDE VIVEMENT, TOUT FONCTIONNE PARFAITEMENT.","['JE', 'RECOMMANDE', 'VIVEMENT', ',', 'TOUT', 'FONCTIONNE', 'PARFAITEMENT', '.']",8,"je recommande vivement, tout fonctionne parfaitement."
AV0031,2026-02-24,réseaux_sociaux,SmartPhone Y,"Très bonne expérience, simple et efficace. https://example.com/commande/31",positif,5,fr,texte normal,False,True,False,False,False,False,False,False,74,True,True,False,"Très bonne expérience, simple et efficace.","['Très', 'bonne', 'expérience', ',', 'simple', 'et', 'efficace', '.']",8,"très bonne expérience, simple et efficace."
AV0032,2026-03-04,sav,Écouteurs AirSound,"Je viens de recevoir le produit, à voir dans le temps. https://example.com/commande/32",neutre,4,fr,texte normal,False,True,False,False,False,False,False,False,86,True,True,False,"Je viens de recevoir le produit, à voir dans le temps.","['Je', 'viens', 'de', 'recevoir', 'le', 'produit', ',', 'à', 'voir', 'dans', 'le', 'temps', '.']",13,"je viens de recevoir le produit, à voir dans le temps."
AV0033,2026-04-19,sav,Écouteurs AirSound,@client Service client réactif et commande reçue rapidement.,positif,4,fr,texte normal,False,False,True,False,False,False,False,False,60,False,True,False,Service client réactif et commande reçue rapidement.,"['Service', 'client', 'réactif', 'et', 'commande', 'reçue', 'rapidement', '.']",8,service client réactif et commande reçue rapidement.
